nb_id	icon	greek	label	title	desc	index_url
nb_6yCT2rFgPRPqBPNKo3g3uj	Α	Δίδαγμα α'	Занятие 1 · 09.06.2026	Алфавит и повелительное наклонение	Алфавит, полезные слова и выражения, повелительное наклонение, образование наречий.	https://molab.marimo.io/notebooks/nb_dNfJMtygPUh5dhfXA44AbJ/app
nb_jozCPiipLpxtsVSZqTc4Ue	Β	Δίδαγμα β'	Занятие 2 · 12.06.2026	Ударения и просодия	Система ударений: τόνος, μόρα, рецессивное ударение, проклитики и энклитики.	https://molab.marimo.io/notebooks/nb_dNfJMtygPUh5dhfXA44AbJ/app
nb_xiJbhAWqwnxiV1SxYvYAdX	Γ	Δίδαγμα γ'	Занятие 3 · 16.06.2026	Глаголы и синтаксис	Проверка домашних заданий. Глаголы: повелительное наклонение. Синтаксис: Τίς, Ποῦ, Διὰ τί; порядок слов S-O-V.	https://molab.marimo.io/notebooks/nb_dNfJMtygPUh5dhfXA44AbJ/app
nb_wwUfB5CVbosTB9gT4bddw1	Δ	Δίδαγμα δ'	Занятие 4 · 19.06.2026	Средний залог и II склонение	Проверка дз. Стяжённый глагол ἐρωτῶ. Средний залог: ἀποκρίνομαι, γίγνομαι. Выражения в классе. II склонение о-основы. αὐτουργός и ἀρετή.	https://molab.marimo.io/notebooks/nb_dNfJMtygPUh5dhfXA44AbJ/app
nb_TJhp16JxphP1ht1DSbxX1s	Ε	Δίδαγμα ε'	Занятие 5 · 23.06.2026	Спряжение и падежи	Грамматические термины. Спряжение: εἶναι, λέγω, ἀκούω, φιλέω. Винительный падеж. Ποῦ/Πόθεν/Ποῖ.	https://molab.marimo.io/notebooks/nb_TJhp16JxphP1ht1DSbxX1s/app
nb_s9jEY8Ku8zq1P21gJegFnA	Σ	Δίδαγμα ς'	Занятие 6 · 26.06.2026	II склонение и падежи	II склонение (ὁ ἀγρός): все падежи. πολύς и μέγας в вин. пад. Относительное мест. ὅς, ἥ, ὅ. μέν … δέ.	https://molab.marimo.io/notebooks/nb_s9jEY8Ku8zq1P21gJegFnA/app
nb_HYFBzXtFTD58CYSxNQFJ1G	Ζ	Δίδαγμα ζ'	Занятие 7 · 01.07.2026	Императив и глаголы Κεφ. II	Проверка дз. Κεφ. II: повелительное наклонение (προστακτική), πάρ-ειμι, условие εἰ μή. Спряжение глаголов главы II в настоящем времени.	https://molab.marimo.io/notebooks/nb_HYFBzXtFTD58CYSxNQFJ1G/app
nb_L3ynoEAdmdKDC3qNbbT1vg	Η	Δίδαγμα η'	Занятие 8 · 03.07.2026	Существительные Κεφ. II	Существительные главы II (о-основа): все падежи. Относит. мест. ὅς/ἥ/ὅ, μέν … δέ, порядок падежей.	https://molab.marimo.io/notebooks/nb_L3ynoEAdmdKDC3qNbbT1vg/app
