url	icon	greek	label_ru	label_el	label_en	title_ru	title_el	title_en	desc_ru	desc_el	desc_en	index_url
/created_with_eee/modern_greek/b1greeklanguageandculture/kapodistrias/	🏛️	Ιωάννης Καποδίστριας	Иоаннис Каподистриас	Ιωάννης Καποδίστριας	Ioannis Kapodistrias	Первый Губернатор Греции	Ο Πρώτος Κυβερνήτης της Ελλάδας	The First Governor of Greece	Уроки B1 на основе истории Иоанниса Каподистриаса. Словарь, грамматика, культура.	Μαθήματα B1 βασισμένα στην ιστορία του Ιωάννη Καποδίστρια. Λεξιλόγιο, γραμματική, πολιτισμός.	B1 lessons based on the story of Ioannis Kapodistrias. Vocabulary, grammar, culture.	/created_with_eee/modern_greek/b1greeklanguageandculture/
/created_with_eee/modern_greek/b1greeklanguageandculture/zorba/	🕺	Αλέξης Ζορμπάς	Зорбас	Ζορμπάς	Zorbas	Реальный человек, ставший легендой	Ο αληθινός άνθρωπος πίσω από τον θρύλο	The Real Man Behind the Legend	Уроки B1 на основе истории Алексиса Зорбаса. Словарь, грамматика, культура.	Μαθήματα B1 βασισμένα στην ιστορία του Αλέξη Ζορμπά. Λεξιλόγιο, γραμματική, πολιτισμός.	B1 lessons based on the story of Alexis Zorbas. Vocabulary, grammar, culture.	/created_with_eee/modern_greek/b1greeklanguageandculture/
/created_with_eee/modern_greek/b1greeklanguageandculture/kavafis_ithaki/	📜	Καβάφης — Ιθάκη	Кавафис — Итака	Καβάφης — Ιθάκη	Kavafis — Ithaka	Интерактивная поэзия: «Итака»	Διαδραστική ποίηση: «Ιθάκη»	Interactive Poetry: «Ithaka»	Уроки B1 на основе поэмы Константиноса Кавафиса «Итака». Интерактивный текст, параллельные переводы, словарь.	Μαθήματα B1 βασισμένα στο ποίημα του Κ. Π. Καβάφη «Ιθάκη». Διαδραστικό κείμενο, παράλληλες μεταφράσεις, λεξιλόγιο.	B1 lessons based on C. P. Cavafy's poem «Ithaka». Interactive text, parallel translations, vocabulary.	/created_with_eee/modern_greek/b1greeklanguageandculture/

