Word	Translation
τρώω	to eat
πίνω	to drink
μαγειρεύω	to cook
παραγγέλνω	to order
κερνάω	to treat
πεινάω	to be hungry
βράζω	to boil
ψήνω	to grill / roast
τηγανίζω	to fry
δοκιμάζω	to try / taste
σερβίρω	to serve
παχαίνω	to gain weight
αγοράζω	to buy
ανάβω	to switch on / light
ανεβαίνω	to go up / get on
ανοίγω	to open
αρρωσταίνω	to get sick
αρχίζω	to begin
βάζω	to put
βγάζω	to take out / off
βγαίνω	to go out
βλάπτω	to harm
βλέπω	to see
βρίσκω	to find
γελάω	to laugh
γευματίζω	to have a meal
γίνομαι	to become
γράφω	to write
διαβάζω	to read
διψάω	to be thirsty
δίνω	to give
δουλεύω	to work
ετοιμάζω	to prepare
έρχομαι	to come
ζω	to live
θέλω	to want
καίω	to burn
καλώ	to invite
κανονίζω	to arrange
κάνω	to do / make
καπνίζω	to smoke
καταλαβαίνω	to understand
κατεβαίνω	to go down
κλαίω	to cry
κλείνω	to reserve / close
κοιτάω	to look (at)
λείπω	to be absent
λέω	to say
μαθαίνω	to learn
μένω	to stay
μιλάω	to talk / speak
μπαίνω	to enter
μπορώ	can / to be able to
μυρίζω	to smell
ξεχνάω	to forget
παθαίνω	to suffer / have (sth) happen to one
παίρνω	to take
πεθαίνω	to die
περιμένω	to wait
πετάω	to throw
πέφτω	to fall
πηγαίνω	to go
πλένω	to wash
πληρώνω	to pay
προσέχω	to be careful
στέλνω	to send
τηλεφωνώ	to call / phone
φέρνω	to bring
φεύγω	to leave
φοράω	to wear
φτάνω	to arrive
φτιάχνω	to fix / make
φυσάω	to blow
ψωνίζω	to shop
