url	icon	greek	label_ru	label_el	label_en	title_ru	title_el	title_en	desc_ru	desc_el	desc_en	index_url
https://eee-project.codeberg.page/created_with_eee/modern_greek/ellinika_b/	📖	Ελληνικά Β	Современный греческий Б	Σύγχρονα Ελληνικά Β	Modern Greek B	Ελληνικά Β — Интерактивные тетради	Ελληνικά Β — Διαδραστικά Τετράδια	Ελληνικά Β — Interactive Notebooks	10 интерактивных уроков по главам учебника Ελληνικά Β. Словарь, существительные, глаголы, прилагательные.	10 διαδραστικά μαθήματα βασισμένα στα κεφάλαια του Ελληνικά Β. Λεξιλόγιο, ουσιαστικά, ρήματα, επίθετα.	10 interactive lessons based on chapters from Ελληνικά Β. Vocabulary, nouns, verbs, adjectives.	https://eee-project.codeberg.page/created_with_eee/modern_greek/
https://eee-project.codeberg.page/created_with_eee/modern_greek/b1greeklanguageandculture/	🏛️	Ιστορία και Πολιτισμός	Каподистриас и Зорбас	Καποδίστριας και Ζορμπάς	Kapodistrias and Zorbas	B1: Греческий язык и культура	B1: Ελληνική Γλώσσα και Πολιτισμός	B1: Greek Language and Culture	Уроки B1 на основе истории Греции: Иоаннис Каподистриас, Алексис Зорбас. Словарь, грамматика, культура.	Μαθήματα B1 βασισμένα στην ιστορία της Ελλάδας: Ιωάννης Καποδίστριας, Αλέξης Ζορμπάς. Λεξιλόγιο, γραμματική, πολιτισμός.	B1 lessons based on Greek history: Ioannis Kapodistrias, Alexis Zorbas. Vocabulary, grammar, culture.	https://eee-project.codeberg.page/created_with_eee/modern_greek/

